timestamp,date_value,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
6/28/2002,37435,15.69,16.36,15.4,16.25,16.25,6237900,0,1
6/27/2002,37434,16.11,16.47,15.3,15.86,15.86,6192000,0,1
6/26/2002,37433,14.69,15.93,14.68,15.85,15.85,8272200,0,1
6/25/2002,37432,16.89,16.95,15.04,15.34,15.34,15304000,0,1
6/24/2002,37431,17.43,17.78,16.94,17.51,17.51,5956800,0,1
6/21/2002,37428,17.6,17.79,17.34,17.53,17.53,5176800,0,1
6/20/2002,37427,18.32,18.38,17.34,17.55,17.55,8697000,0,1
6/19/2002,37426,18.49,19.1,18.27,18.3,18.3,7420300,0,1
6/18/2002,37425,18.13,19.16,18.09,18.78,18.78,7962100,0,1
6/17/2002,37424,16.95,18.48,16.86,18.41,18.41,9051600,0,1
6/14/2002,37421,17.14,17.4,16.26,16.82,16.82,7973200,0,1
6/13/2002,37420,17,17.5,16.74,17.43,17.43,4892900,0,1
